rep,proto,ber,e2e_delay,time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
0,reno,100000,10000,20230905172100.339,10.0.3.20,54988,10.0.0.20,5001,3,0.0-10.1,4325376,3437327
0,reno,100000,100000,20230905172153.397,10.0.3.20,55758,10.0.0.20,5001,3,0.0-13.3,1362624,821046
0,reno,1000000,10000,20230905172214.125,10.0.3.20,54138,10.0.0.20,5001,3,0.0-10.2,20709376,16215326
0,reno,1000000,100000,20230905172337.500,10.0.3.20,49440,10.0.0.20,5001,3,0.0-10.6,2097152,1578856
0,cubic,100000,100000,20230905172436.471,10.0.3.20,39680,10.0.0.20,5001,3,0.0-10.5,917504,701562
0,cubic,1000000,10000,20230905172457.732,10.0.3.20,41776,10.0.0.20,5001,3,0.0-10.0,17694720,14131632
0,cubic,1000000,100000,20230905172620.738,10.0.3.20,39202,10.0.0.20,5001,3,0.0-10.0,10354688,8256690
1,reno,100000,10000,20230905172643.114,10.0.3.20,44078,10.0.0.20,5001,3,0.0-11.4,8519680,5981881
1,reno,100000,100000,20230905172805.566,10.0.3.20,38360,10.0.0.20,5001,3,0.0-10.4,655360,503708
1,cubic,100000,100000,20230905172955.279,10.0.3.20,34636,10.0.0.20,5001,3,0.0-11.6,1721672,1189876
1,cubic,1000000,10000,20230905173015.890,10.0.3.20,57418,10.0.0.20,5001,3,0.0-10.2,101711872,79550387
1,cubic,1000000,100000,20230905173107.257,10.0.3.20,51302,10.0.0.20,5001,3,0.0-11.9,11010048,7413864
2,reno,100000,10000,20230905173128.709,10.0.3.20,57954,10.0.0.20,5001,3,0.0-10.1,4849664,3849457
2,reno,100000,100000,20230905173255.430,10.0.3.20,40958,10.0.0.20,5001,3,0.0-13.6,1602992,946081
2,reno,1000000,10000,20230905173316.678,10.0.3.20,44732,10.0.0.20,5001,3,0.0-10.1,19529728,15489233
2,cubic,100000,100000,20230905173424.046,10.0.3.20,53600,10.0.0.20,5001,3,0.0-10.8,1441792,1070364
2,cubic,1000000,100000,20230905173524.628,10.0.3.20,51398,10.0.0.20,5001,3,0.0-12.7,13369344,8399123
3,reno,100000,10000,20230905173545.724,10.0.3.20,46134,10.0.0.20,5001,3,0.0-10.2,4194304,3298294
3,reno,1000000,10000,20230905173615.120,10.0.3.20,49008,10.0.0.20,5001,3,0.0-10.3,74317824,57800562
3,cubic,100000,10000,20230905173644.005,10.0.3.20,53714,10.0.0.20,5001,3,0.0-10.1,7077888,5616923
3,cubic,100000,100000,20230905173808.953,10.0.3.20,33442,10.0.0.20,5001,3,0.0-11.7,1179648,807433
3,cubic,1000000,10000,20230905173829.975,10.0.3.20,42528,10.0.0.20,5001,3,0.0-10.4,24903680,19122616
4,reno,100000,10000,20230905173858.580,10.0.3.20,45592,10.0.0.20,5001,3,0.0-10.1,4456448,3529174
4,reno,100000,100000,20230905173924.362,10.0.3.20,55630,10.0.0.20,5001,3,0.0-10.3,127424,98972
4,reno,1000000,100000,20230905174058.313,10.0.3.20,36776,10.0.0.20,5001,3,0.0-13.1,10631216,6486595
4,cubic,100000,10000,20230905174119.357,10.0.3.20,41442,10.0.0.20,5001,3,0.0-10.2,5767168,4533929
4,cubic,100000,100000,20230905174209.029,10.0.3.20,45578,10.0.0.20,5001,3,0.0-10.1,1048576,831191
4,cubic,1000000,10000,20230905174229.642,10.0.3.20,59516,10.0.0.20,5001,3,0.0-10.1,82837504,65864501
4,cubic,1000000,100000,20230905174355.019,10.0.3.20,35516,10.0.0.20,5001,3,0.0-11.6,11534336,7925021
5,reno,100000,10000,20230905174415.988,10.0.3.20,32956,10.0.0.20,5001,3,0.0-10.2,4325376,3383196
5,reno,1000000,10000,20230905174445.619,10.0.3.20,38362,10.0.0.20,5001,3,0.0-10.4,51249152,39488423
5,reno,1000000,100000,20230905174540.172,10.0.3.20,42816,10.0.0.20,5001,3,0.0-14.7,13580792,7415347
5,cubic,100000,10000,20230905174601.273,10.0.3.20,47350,10.0.0.20,5001,3,0.0-10.4,4063232,3126073
5,cubic,100000,100000,20230905174724.746,10.0.3.20,60430,10.0.0.20,5001,3,0.0-10.4,1172880,900016
5,cubic,1000000,10000,20230905174745.695,10.0.3.20,42696,10.0.0.20,5001,3,0.0-10.0,15990784,12766913
5,cubic,1000000,100000,20230905174838.286,10.0.3.20,56144,10.0.0.20,5001,3,0.0-13.0,12189696,7473586
6,reno,100000,100000,20230905174936.167,10.0.3.20,49462,10.0.0.20,5001,3,0.0-10.3,520640,405854
6,reno,1000000,10000,20230905174957.653,10.0.3.20,33364,10.0.0.20,5001,3,0.0-10.1,20316160,16085094
