rep,proto,ber,e2e_delay,time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
0,reno,100000,10000,20230905192226.855,10.0.3.20,35128,10.0.0.20,5001,3,0.0-10.4,5373952,4126500
0,reno,100000,100000,20230905192355.263,10.0.3.20,59228,10.0.0.20,5001,3,0.0-12.3,1508816,977877
0,reno,100000,10000,20230905192416.946,10.0.3.20,48654,10.0.0.20,5001,3,0.0-10.1,4849664,3851001
0,reno,100000,100000,20230905192544.501,10.0.3.20,41760,10.0.0.20,5001,3,0.0-13.0,655360,402154
0,reno,1000000,10000,20230905192605.852,10.0.3.20,51054,10.0.0.20,5001,3,0.0-10.1,53477376,42551154
0,reno,1000000,100000,20230905192732.566,10.0.3.20,53432,10.0.0.20,5001,3,0.0-10.5,5373952,4091437
0,reno,1000000,10000,20230905192754.228,10.0.3.20,58984,10.0.0.20,5001,3,0.0-10.4,40239104,31036498
0,reno,1000000,100000,20230905192922.988,10.0.3.20,38802,10.0.0.20,5001,3,0.0-14.4,5946936,3296266
0,cubic,100000,10000,20230905192945.066,10.0.3.20,50952,10.0.0.20,5001,3,0.0-10.0,4325376,3449415
0,cubic,100000,100000,20230905193042.349,10.0.3.20,57056,10.0.0.20,5001,3,0.0-13.2,1835008,1114959
0,cubic,100000,10000,20230905193104.681,10.0.3.20,41952,10.0.0.20,5001,3,0.0-10.5,4194304,3181871
0,cubic,100000,100000,20230905193231.885,10.0.3.20,47862,10.0.0.20,5001,3,0.0-10.8,1441792,1065439
0,cubic,1000000,10000,20230905193254.019,10.0.3.20,58886,10.0.0.20,5001,3,0.0-10.0,16252928,12960383
0,cubic,1000000,100000,20230905193348.832,10.0.3.20,54820,10.0.0.20,5001,3,0.0-11.2,7471104,5324910
0,cubic,1000000,10000,20230905193411.422,10.0.3.20,52490,10.0.0.20,5001,3,0.0-10.6,62652416,47412901
0,cubic,1000000,100000,connect failed: Network is unreachable
1,reno,100000,10000,20230905193443.893,10.0.3.20,45968,10.0.0.20,5001,3,0.0-10.4,4980736,3820026
1,reno,100000,100000,20230905193538.577,10.0.3.20,49258,10.0.0.20,5001,3,0.0-12.2,917504,603206
1,reno,100000,10000,20230905193600.638,10.0.3.20,44326,10.0.0.20,5001,3,0.0-10.1,4325376,3419236
1,reno,100000,100000,connect failed: Network is unreachable
1,reno,1000000,10000,20230905193843.081,10.0.3.20,39410,10.0.0.20,5001,3,0.0-10.0,17563648,14046427
1,reno,1000000,100000,20230905193936.123,10.0.3.20,42016,10.0.0.20,5001,3,0.0-10.9,4194304,3087353
1,reno,1000000,10000,20230905193958.182,10.0.3.20,34658,10.0.0.20,5001,3,0.0-10.3,39452672,30578133
1,reno,1000000,100000,connect failed: Network is unreachable
1,cubic,100000,10000,20230905194029.830,10.0.3.20,46656,10.0.0.20,5001,3,0.0-10.4,6029312,4660021
1,cubic,100000,100000,20230905194124.610,10.0.3.20,56912,10.0.0.20,5001,3,0.0-12.6,1530536,971786
1,cubic,100000,10000,20230905194147.436,10.0.3.20,38742,10.0.0.20,5001,3,0.0-10.1,4456448,3524583
1,cubic,100000,100000,20230905194313.129,10.0.3.20,49292,10.0.0.20,5001,3,0.0-11.0,524288,379927
1,cubic,1000000,10000,20230905194334.873,10.0.3.20,51008,10.0.0.20,5001,3,0.0-10.3,79429632,61416561
1,cubic,1000000,100000,20230905194503.738,10.0.3.20,41938,10.0.0.20,5001,3,0.0-13.1,16259592,9920772
1,cubic,1000000,10000,20230905194525.851,10.0.3.20,48504,10.0.0.20,5001,3,0.0-10.9,47710208,34946897
1,cubic,1000000,100000,20230905194618.364,10.0.3.20,40344,10.0.0.20,5001,3,0.0-10.4,2228224,1709735
2,reno,100000,10000,20230905194639.940,10.0.3.20,51030,10.0.0.20,5001,3,0.0-10.3,4718592,3669961
2,reno,100000,100000,20230905194806.301,10.0.3.20,55016,10.0.0.20,5001,3,0.0-11.3,1048576,739300
2,reno,100000,10000,20230905194931.563,10.0.3.20,55942,10.0.0.20,5001,3,0.0-10.8,5505024,4086023
2,reno,100000,100000,20230905195025.096,10.0.3.20,52098,10.0.0.20,5001,3,0.0-11.9,1048576,704373
2,reno,1000000,10000,20230905195047.461,10.0.3.20,54924,10.0.0.20,5001,3,0.0-10.5,29229056,22239779
2,reno,1000000,100000,20230905195213.789,10.0.3.20,57098,10.0.0.20,5001,3,0.0-11.0,1310720,951407
2,reno,1000000,10000,20230905195235.165,10.0.3.20,42746,10.0.0.20,5001,3,0.0-10.3,40370176,31411077
2,reno,1000000,100000,20230905195329.597,10.0.3.20,33468,10.0.0.20,5001,3,0.0-12.3,41409688,26846805
2,cubic,100000,10000,20230905195351.042,10.0.3.20,52158,10.0.0.20,5001,3,0.0-10.2,3932160,3095485
2,cubic,100000,100000,20230905195518.815,10.0.3.20,39364,10.0.0.20,5001,3,0.0-11.7,917504,626961
2,cubic,100000,10000,20230905195540.648,10.0.3.20,35648,10.0.0.20,5001,3,0.0-10.3,6029312,4700471
2,cubic,100000,100000,20230905195706.505,10.0.3.20,40728,10.0.0.20,5001,3,0.0-10.9,524288,385327
2,cubic,1000000,10000,20230905195728.053,10.0.3.20,60980,10.0.0.20,5001,3,0.0-10.5,55312384,42000817
2,cubic,1000000,100000,20230905195853.177,10.0.3.20,57774,10.0.0.20,5001,3,0.0-11.1,4456448,3222906
2,cubic,1000000,10000,20230905195915.639,10.0.3.20,50526,10.0.0.20,5001,3,0.0-10.9,46661632,34290634
2,cubic,1000000,100000,connect failed: Network is unreachable
3,reno,100000,10000,20230905195947.642,10.0.3.20,38954,10.0.0.20,5001,3,0.0-10.3,5767168,4460433
3,reno,100000,100000,20230905200044.283,10.0.3.20,37030,10.0.0.20,5001,3,0.0-14.4,501008,278565
