rep,proto,ber,e2e_delay,vel,time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
0,reno,100000,10000,500000kbps,20230905205628.036,10.0.3.20,38022,10.0.0.20,5001,3,0.0-10.2,4980736,3920057
0,reno,100000,100000,500000kbps,20230905205754.234,10.0.3.20,33858,10.0.0.20,5001,3,0.0-11.1,917504,660150
0,reno,100000,10000,700000kbps,20230905205815.257,10.0.3.20,34686,10.0.0.20,5001,3,0.0-10.2,4456448,3491774
0,reno,100000,100000,700000kbps,20230905205942.970,10.0.3.20,57004,10.0.0.20,5001,3,0.0-13.4,939752,562406
0,reno,1000000,10000,500000kbps,20230905210004.943,10.0.3.20,35652,10.0.0.20,5001,3,0.0-10.6,73793536,55900070
0,reno,1000000,100000,500000kbps,20230905210128.285,10.0.3.20,54998,10.0.0.20,5001,3,0.0-10.1,1441792,1138955
0,reno,1000000,10000,700000kbps,20230905210150.199,10.0.3.20,50602,10.0.0.20,5001,3,0.0-10.8,49414144,36434774
0,reno,1000000,100000,700000kbps,20230905210316.226,10.0.3.20,40184,10.0.0.20,5001,3,0.0-13.6,8937056,5248053
0,cubic,100000,10000,500000kbps,connect failed: Network is unreachable
0,cubic,100000,100000,500000kbps,20230905210447.002,10.0.3.20,35654,10.0.0.20,5001,3,0.0-10.2,524288,411482
0,cubic,100000,10000,700000kbps,20230905210509.550,10.0.3.20,52842,10.0.0.20,5001,3,0.0-10.3,4194304,3253293
0,cubic,100000,100000,700000kbps,20230905210603.078,10.0.3.20,50064,10.0.0.20,5001,3,0.0-13.6,1534880,905339
0,cubic,1000000,10000,500000kbps,connect failed: Network is unreachable
0,cubic,1000000,100000,500000kbps,20230905210702.793,10.0.3.20,49868,10.0.0.20,5001,3,0.0-11.8,9175040,6197467
0,cubic,1000000,10000,700000kbps,20230905210721.835,10.0.3.20,60628,10.0.0.20,5001,3,0.0-10.4,42729472,32814453
0,cubic,1000000,100000,700000kbps,connect failed: Network is unreachable
1,reno,100000,10000,500000kbps,20230905210751.960,10.0.3.20,44106,10.0.0.20,5001,3,0.0-10.1,4325376,3421089
1,reno,100000,100000,500000kbps,connect failed: Network is unreachable
1,reno,100000,10000,700000kbps,20230905210821.778,10.0.3.20,60436,10.0.0.20,5001,3,0.0-10.3,4063232,3164116
1,reno,100000,100000,700000kbps,connect failed: Network is unreachable
1,reno,1000000,10000,500000kbps,20230905210851.434,10.0.3.20,53058,10.0.0.20,5001,3,0.0-10.5,63963136,48948047
1,reno,1000000,100000,500000kbps,20230905210941.834,10.0.3.20,43552,10.0.0.20,5001,3,0.0-10.6,2621440,1975113
1,reno,1000000,10000,700000kbps,20230905211004.846,10.0.3.20,45512,10.0.0.20,5001,3,0.0-10.7,36569088,27290407
1,reno,1000000,100000,700000kbps,20230905211129.237,10.0.3.20,37546,10.0.0.20,5001,3,0.0-11.0,4194304,3045320
1,cubic,100000,10000,500000kbps,20230905211150.542,10.0.3.20,43892,10.0.0.20,5001,3,0.0-10.3,3538944,2757567
1,cubic,100000,100000,500000kbps,connect failed: Network is unreachable
1,cubic,100000,10000,700000kbps,20230905211219.704,10.0.3.20,47570,10.0.0.20,5001,3,0.0-10.0,4456448,3548992
1,cubic,100000,100000,700000kbps,connect failed: Network is unreachable
1,cubic,1000000,10000,500000kbps,20230905211248.285,10.0.3.20,48662,10.0.0.20,5001,3,0.0-10.3,61734912,48161248
1,cubic,1000000,100000,500000kbps,20230905211338.208,10.0.3.20,34442,10.0.0.20,5001,3,0.0-10.5,3145728,2405772
1,cubic,1000000,10000,700000kbps,20230905211359.218,10.0.3.20,53298,10.0.0.20,5001,3,0.0-10.2,52953088,41377313
1,cubic,1000000,100000,700000kbps,connect failed: Network is unreachable
2,reno,100000,10000,500000kbps,connect failed: Network is unreachable
2,reno,100000,100000,500000kbps,20230905211505.089,10.0.3.20,41428,10.0.0.20,5001,3,0.0-10.0,366344,291924
2,reno,100000,10000,700000kbps,20230905211525.909,10.0.3.20,55868,10.0.0.20,5001,3,0.0-10.1,3801088,3007346
2,reno,100000,100000,700000kbps,20230905211649.968,10.0.3.20,54020,10.0.0.20,5001,3,0.0-10.2,917504,718298
2,reno,1000000,10000,500000kbps,20230905211711.530,10.0.3.20,38330,10.0.0.20,5001,3,0.0-10.2,65929216,51566652
2,reno,1000000,100000,500000kbps,20230905211835.498,10.0.3.20,58008,10.0.0.20,5001,3,0.0-11.3,2359296,1669787
2,reno,1000000,10000,700000kbps,20230905211855.104,10.0.3.20,46268,10.0.0.20,5001,3,0.0-10.5,38010880,28851345
2,reno,1000000,100000,700000kbps,20230905211949.674,10.0.3.20,47010,10.0.0.20,5001,3,0.0-14.3,6291456,3516916
2,cubic,100000,10000,500000kbps,connect failed: Network is unreachable
2,cubic,100000,100000,500000kbps,20230905212123.464,10.0.3.20,60924,10.0.0.20,5001,3,0.0-11.3,393216,277593
2,cubic,100000,10000,700000kbps,connect failed: Network is unreachable
2,cubic,100000,100000,700000kbps,connect failed: Network is unreachable
2,cubic,1000000,10000,500000kbps,connect failed: Network is unreachable
2,cubic,1000000,100000,500000kbps,connect failed: Network is unreachable
2,cubic,1000000,10000,700000kbps,connect failed: Network is unreachable
2,cubic,1000000,100000,700000kbps,connect failed: Network is unreachable
3,reno,100000,10000,500000kbps,20230905212233.459,10.0.3.20,50198,10.0.0.20,5001,3,0.0-10.3,4718592,3653597
3,reno,100000,100000,500000kbps,connect failed: Network is unreachable
3,reno,100000,10000,700000kbps,connect failed: Network is unreachable
3,reno,100000,100000,700000kbps,connect failed: Network is unreachable
3,reno,1000000,10000,500000kbps,20230905212319.088,10.0.3.20,49400,10.0.0.20,5001,3,0.0-10.1,26083328,20708719
3,reno,1000000,100000,500000kbps,connect failed: Network is unreachable
3,reno,1000000,10000,700000kbps,20230905212350.646,10.0.3.20,55424,10.0.0.20,5001,3,0.0-10.1,35651584,28218463
3,reno,1000000,100000,700000kbps,20230905212442.881,10.0.3.20,56134,10.0.0.20,5001,3,0.0-12.3,8278216,5365233
3,cubic,100000,10000,500000kbps,20230905212503.807,10.0.3.20,56256,10.0.0.20,5001,3,0.0-10.2,4587520,3601841
3,cubic,100000,100000,500000kbps,20230905212556.983,10.0.3.20,47112,10.0.0.20,5001,3,0.0-10.2,655360,514200
3,cubic,100000,10000,700000kbps,20230905212618.940,10.0.3.20,53976,10.0.0.20,5001,3,0.0-10.4,3276800,2517434
3,cubic,100000,100000,700000kbps,20230905212743.448,10.0.3.20,60808,10.0.0.20,5001,3,0.0-10.4,655360,505081
3,cubic,1000000,10000,500000kbps,20230905212804.786,10.0.3.20,42312,10.0.0.20,5001,3,0.0-10.5,57802752,43941950
3,cubic,1000000,100000,500000kbps,20230905212855.650,10.0.3.20,46626,10.0.0.20,5001,3,0.0-11.4,4063232,2846920
3,cubic,1000000,10000,700000kbps,20230905212916.646,10.0.3.20,56060,10.0.0.20,5001,3,0.0-10.1,42467328,33538929
